Year,Minority,Major,Programming,Programming.Affinity,Statistics,Letter.Grade,Requirement,Birthday,Extrovert,People.Texted,Hours.of.Sleep,Handedness,Sleep.Position,Pets,Piercings,Languages
Second Year,Yes,"Cognitive Science, Psychology",True,3,True,Yes,Yes,3/17,6,5,6,Right-handed,On your stomach,True,6,2
Second Year,Yes,Media Studies,False,2,False,Yes,Yes,7/1,8,8,6,Right-handed,On your right side,False,4,2
Third Year,No,Psychology,True,4,True,Maybe,No,6/23,6,3,4,Right-handed,On your back,False,1,3
Second Year,Yes,"Business, Economics",False,3,True,Yes,Yes,6/24,7,5,6,Right-handed,On your right side,True,6,2
Third Year,No,Molecular and Cell Biology,False,2,False,Yes,No,9/29,4,1,7,Right-handed,On your back,False,0,3
Third Year,I don't know,Data Science,False,2,True,Yes,Yes,10/13,4,3,6,Right-handed,On your right side,False,0,3
Third Year,I don't know,Business,False,1,True,Yes,I don't know,12/7,6,4,7.5,Right-handed,On your back,True,0,2
Third Year,Yes,Computer Science,True,5,True,Yes,No,11/18,5,1,8,Right-handed,On your right side,True,0,6
Third Year,No,"Computer Science, Philosophy",True,5,True,Yes,Yes,6/29,10,11,7,Right-handed,On your back,False,0,6
Third Year,No,Cognitive Science,False,3,False,Yes,Yes,2/4,9,4,7,Right-handed,On your back,False,1,4
Second Year,I don't know,Mathematics,True,3,False,Yes,Yes,1/14,4,3,7,Right-handed,On your back,False,0,2
Second Year,No,Economics,False,1,False,Yes,I don't know,2/12,7,12,8.5,Right-handed,On your back,False,0,1
Second Year,Yes,EECS,True,5,False,Yes,Yes,9/29,8,5,9,Right-handed,On your stomach,False,0,3
Second Year,I don't know,"Business, Data Science, Undecided",True,1,True,Yes,Yes,11/17,6,6,7,Right-handed,On your back,False,2,3
First Year,Yes,Data Science,False,3,True,Yes,Yes,7/31,3,2,7,Right-handed,On your right side,True,0,2
Second Year,Yes,Undecided,True,2,False,Yes,Yes,2/2,9,20,7,Right-handed,On your stomach,False,0,3
First Year,Yes,"Cognitive Science, Interdisciplinary Studies",True,3,True,Yes,Yes,1/22,7,5,8,Right-handed,On your left side,True,2,4
Fourth Year,Yes,Public Health,False,3,False,Yes,Yes,7/16,8,3,7,Right-handed,On your stomach,False,2,1
First Year,No,"Data Science, Statistics",True,3,True,Yes,Yes,2/10,3,7,6,Right-handed,On your left side,False,0,3
Third Year,No,Economics,False,2,False,Yes,I don't know,2/8,8,3,8,Right-handed,On your right side,True,0,3
Second Year,No,"Data Science, Neuroscience.",False,3,True,Yes,Yes,12/29,8,5,8,Right-handed,On your right side,False,3,3
Fifth Year or above,No,EECS,True,5,True,Yes,No,11/16,7,5,6,Right-handed,On your right side,False,0,5
First Year,,Applied Math,False,1,True,Yes,I don't know,8/9,6,5,7,Right-handed,On your back,False,0,2
First Year,I don't know,"Cognitive Science, Undecided",False,1,True,Yes,Yes,9/13,5,10,6,Right-handed,On your back,False,0,3
Third Year,Yes,"Public Health, Integrative Biology",True,3,False,Yes,Yes,11/30,3,5,6,Right-handed,On your right side,False,2,2
Fourth Year,Yes,Cognitive Science,False,1,True,Yes,Yes,6/26,7,8,4,Left-handed,On your back,False,2,3
Third Year,No,"Data Science, Anthropology",False,1,True,Yes,Yes,5/5,5,6,8,Right-handed,On your left side,True,5,4
Second Year,Yes,"Psychology, Public Health",False,2,False,Yes,Yes,12/15,8,4,6,Right-handed,On your left side,False,5,2
First Year,No,Undecided,True,3,False,Maybe,No,9/29,7,3,6,Right-handed,On your left side,False,0,3
Fourth Year,Yes,Statistics,True,4,True,Yes,Yes,4/22,8,6,7,Right-handed,On your back,True,2,2
Fourth Year,Yes,Psychology,True,3,True,Yes,No,4/19,7,5,8,Right-handed,On your stomach,True,2,3
Fourth Year,No,Psychology,False,4,True,Yes,Yes,8/14,2,4,8,Right-handed,On your right side,False,2,4
First Year,No,Civil Engineering,False,1,False,Yes,Yes,10/28,7,4,9,Right-handed,On your left side,True,0,3
Second Year,Yes,"Molecular and Cell Biology, Public Health",False,1,True,Yes,Yes,10/27,8,8,6,Right-handed,On your left side,False,2,2
Second Year,No,Undecided,True,3,True,Yes,Yes,11/2,9,10,7,Right-handed,On your right side,False,0,4
Third Year,No,Computer Science,True,5,True,Yes,No,7/28,10,9,6,Left-handed,On your right side,True,2,3
Second Year,Yes,Political Science,False,1,False,Yes,Yes,8/10,8,7,6,Right-handed,On your back,False,2,3
First Year,Yes,"Business, Nueroscience",False,1,False,Yes,Yes,6/17,3,5,6,Left-handed,On your right side,False,2,2
Third Year,Yes,Molecular and Cell Biology,True,5,False,Yes,No,1/30,8,4,9,Right-handed,On your stomach,True,0,5
Second Year,Yes,Political Science,False,2,True,Yes,No,8/4,9,5,8,Right-handed,On your right side,False,2,1
First Year,Yes,Civil Engineering,False,1,False,Yes,I don't know,12/14,8,6,7,Right-handed,On your back,False,0,4
Third Year,No,"Economics, Media Studies",False,3,True,Maybe,Yes,8/15,6,10,6,Right-handed,On your right side,True,2,2
Fourth Year,No,Political Science,True,2,True,Maybe,No,5/11,6,4,7,ambidextrous,On your right side,True,6,3
First Year,No,Statistics,True,5,False,Yes,Yes,11/11,8,4,6,Right-handed,On your left side,True,0,10
Third Year,I don't know,Applied Math,True,3,False,Yes,Yes,5/5,5,4,8,Right-handed,On your left side,False,0,2
Third Year,Yes,EECS,True,3,False,Yes,No,11/9,3,8,7,Right-handed,On your stomach,False,0,3
Second Year,No,Chemical Biology,False,1,True,Yes,No,12/26,8,13,6,both,On your right side,True,4,3
Third Year,No,Public Health,False,1,True,Yes,Yes,10/24,8,5,7,Right-handed,On your back,False,2,1
Second Year,I don't know,"Applied Math, Computer Science, Data Science",True,5,True,Yes,Yes,5/28,3,2,9,Right-handed,On your right side,False,0,5
Third Year,Yes,"Data Science, Media Studies",True,3,True,Yes,Yes,7/3,4,2,4,Right-handed,On your back,False,0,3
Third Year,Yes,Political Economy,False,1,False,Yes,Yes,1/27,1,1,8,Right-handed,On your right side,True,4,1
Second Year,No,"Data Science, Economics",False,1,True,Yes,Yes,5/18,9,15,7,Right-handed,On your right side,True,2,2
Second Year,Yes,Political Science,False,2,True,Yes,Yes,10/9,7,3,7,Right-handed,On your left side,True,2,2
Third Year,Yes,Civil Engineering,True,3,False,Yes,Yes,4/1,5,4,7,Right-handed,On your back,True,0,3
Third Year,I don't know,Data Science,False,2,False,Yes,Yes,7/24,4,2,8,Right-handed,On your back,False,0,1
Second Year,No,"Economics, Molecular and Cell Biology",True,2,False,Yes,Yes,6/9,7,9,7,Right-handed,On your right side,True,1,4
Third Year,Yes,"Computer Science, Mathematics",True,3,False,Yes,Yes,8/25,7,2,7,Right-handed,On your back,False,0,9
